# BOX ── 保管庫
#
# ⭐ **部品を3つ差している**: 1体の札（panel）・並べ替えの帯（sortbar）・升（cell）。
# ⚠️ 数は `Resources/Prefabs/BoxScreen.prefab` の実測。記憶で書かない。
#
# ⚠️ **開閉で一覧の場所が変わる。**⭐ 札の枚数がコンパイル時に決まるので、
#    2つの巻物を `when=` で入れ替えるだけで足りる。
# ⚠️ 開いた中身（746）はどの画面にも入らないので、**巻物に入れる**
#    （作者の指摘 2026-08-22「ソート機能がスクロールできないため全体を操作できない」）。
# ⭐ 開いていても一覧は 204 残す ── 絞った結果がその場で見えるため。
#    ⚠️ 開いた札の高さ 320 は Unity 版の `SortBar.MinOpen` と同じ数。
#
#  名前    種類    左   上     幅   高    付け足し
detail    card    48   12     984  860   use=panel
  # 🔴 **「Lv ＋1」と「技を鍛える」を1つの「強化」にまとめた**（2026-08-30・作者の指示
  #    「「強化」ボタンに統一 強化ボタン内でタブ分け」）。⚠️ どちらも「この個体を強くする」
  #    入口で、押しどころを2つに割る理由が無かった ── 分けるのは**開いた札の中**（タブ）。
  # ⭐ 絵は作者の `assets/ui/home-src/27_ボタン２.png`（＝`home-btn2`・50x20ドット＝200x80）。
  #    ⚠️ `paint` は引き伸ばさないので枠は実寸ちょうど。⭐ `paint` の押しどころに高さの
  #    下限（112）は掛からない（`button` だけの決まり）── `frame.txt` のタブと同じ形。
  # ⚠️ 2つを 40 空けて中央へ:（200＋40＋224）＝464、(984−464)÷2＝260。
  bgrow   paint   260  738    200  80    pic=home-btn2 tap=grow bind=grow
    glab  label   0    24     200  32    size=28 anchor=center text=強化
  # ⭐ 家系図（2世代以降の個体だけが持つ ── 作者の指示「BOXで2世代以降の
  #    キャラクターの家系図を見られるように」）。
  btree   button  500  722    224  112   size=24 tap=tree text=家系図
  # 🔴 **「分解」はここから外した**（2026-08-30・作者の指示「移動。個別の分解はなくし
  #    まとめて分解だけに」）。⭐ 行き先は画面の左下（`melt`）── 札の中に在ると
  #    「いま見ている1体を分解する」に読めるが、開く先は**まとめて選ぶ**札だった。

bar       box     48   896    984  112   use=sortbar
open      scroll  48   1020   984  320   when=open
  chips   box     0    0      984  746   use=sortchips

gridA     scroll  48   1020   984  536   when=!open
  cellA   card    26   0      224  200   repeat=box cols=4 gap=12 rows=212 tap=one use=cell
gridB     scroll  48   1352   984  204   when=open
  cellB   card    26   0      224  200   repeat=box cols=4 gap=12 rows=212 tap=one use=cell

# 🔴 **まとめて分解**（2026-08-30・作者の指示「移動。個別の分解はなくしまとめて分解だけに」）。
#    ⚠️ 旧は札の中の「分解」で、いま見ている1体を分解するように読めた ── 開く先は
#    最初から**まとめて選ぶ**札（`fuse.txt`）なので、名前と置き場所をその通りにした。
melt      button  48   1560   320  112   size=28 tap=fuse text=まとめて分解

# ⭐ **持っている EXP**（2026-08-29・上のバーの右肩から降りてきた）。
#    ⭐ ここに要る理由は右肩に置いたときと同じ:「Lv ＋1　EXP 122」を見ても、
#    **足りているのか**が画面のどこにも書いていなかった（2026-08-21・作者の指示）。
#    ⚠️ 体数は出さない ── 下のタブが既に「BOX 44/50」を出している。
# 🔴 **枠の絵の中に数だけ**（2026-08-30・作者の指示「`31_枠１.png` を使用し「持っている」を
#    削除」）。⭐ 絵は `home-frame1`（66x20ドット＝264x80）── `paint` は引き伸ばさないので
#    枠は実寸ちょうど。⚠️ 「持っている」の字を消せるのは、枠が「持ち物だ」と言うから。
expbox    paint   768  1576   264  80    pic=home-frame1
  exp     label   16   24     232  32    size=28 anchor=right bind=exp
