画面	部品	字	大きさ	枠幅	要る幅	占有%
Home	Count	EXP 133,290	40	400.0	304.0	76.0
Home	Stand	からっぽ	28	300.0	112.0	37.3
Home	Stand	からっぽ	28	300.0	112.0	37.3
Home	Stand	からっぽ	28	300.0	112.0	37.3
Home	Stand	からっぽ	28	300.0	112.0	37.3
Home	Stand	からっぽ	28	300.0	112.0	37.3
Home	Stand	からっぽ	28	300.0	112.0	37.3
Home	Label	パーティ編成	34	492.0	204.0	41.5
Home	Label	試練　2/5	34	444.0	166.0	37.4
Home	World	#EC2DADE3	24	492.0	179.0	36.4
Home	Title	EGG COMMAND	40	800.0	372.0	46.5
Home	Badge	図鑑	28	252.0	56.0	22.2
Home	Name	ホーム	32	234.0	96.0	41.0
Home	Name	探索	32	234.0	64.0	27.4
Home	Count	3	24	234.0	18.0	7.7
Home	Name	配合	32	234.0	64.0	27.4
Home	Count	22体	24	234.0	60.0	25.6
Home	Name	BOX	32	234.0	86.0	36.8
Home	Count	22/50	24	234.0	82.0	35.0
Nests	LvTag	Lv	28	90.0	43.0	47.8
Nests	Level	98	76	300.0	115.0	38.3
Nests	Left	15:00	44	248.0	144.0	58.1
Nests	LvTag	Lv	28	90.0	43.0	47.8
Nests	Level	55	76	300.0	118.0	39.3
Nests	Left	40:00	44	248.0	148.0	59.7
Nests	LvTag	Lv	28	90.0	43.0	47.8
Nests	Level	80	76	300.0	115.0	38.3
Nests	Left	25:00	44	248.0	147.0	59.3
Nests	Name	淵のヌシ	56	600.0	224.0	37.3
Nests	Title	探索	40	800.0	80.0	10.0
Nests	Badge	パーティ編成	28	252.0	168.0	66.7
Nests	Name	ホーム	32	234.0	96.0	41.0
Nests	Name	探索	32	234.0	64.0	27.4
Nests	Count	3	24	234.0	18.0	7.7
Nests	Name	配合	32	234.0	64.0	27.4
Nests	Count	22体	24	234.0	60.0	25.6
Nests	Name	BOX	32	234.0	86.0	36.8
Nests	Count	22/50	24	234.0	82.0	35.0
Breed	Say	下から選ぶ	30	460.0	150.0	32.6
Breed	Say	下から選ぶ	30	460.0	150.0	32.6
Breed	Plus	＋	48	64.0	48.0	75.0
Breed	Label	配合する	32	984.0	128.0	13.0
Breed	What	すべて　／　素質合計 順（素質だけ）	28	884.0	482.0	54.5
Breed	Arrow	▼	30	48.0	30.0	62.5
Breed	Rarity	★★★★★	20	156.0	80.0	51.3
Breed	Rarity	★★★★★	20	156.0	80.0	51.3
Breed	Rarity	★★★★	20	156.0	64.0	41.0
Breed	Rarity	★★★★	20	156.0	64.0	41.0
Breed	Rarity	★★★★	20	156.0	64.0	41.0
Breed	Rarity	★★★★	20	156.0	64.0	41.0
Breed	Rarity	★★★	20	156.0	48.0	30.8
Breed	Rarity	★★★	20	156.0	48.0	30.8
Breed	Rarity	★★★	20	156.0	48.0	30.8
Breed	Rarity	★★★	20	156.0	48.0	30.8
Breed	Rarity	★★★	20	156.0	48.0	30.8
Breed	Rarity	★★	20	156.0	32.0	20.5
Breed	Rarity	★★	20	156.0	32.0	20.5
Breed	Rarity	★★	20	156.0	32.0	20.5
Breed	Rarity	★★	20	156.0	32.0	20.5
Breed	Rarity	★★	20	156.0	32.0	20.5
Breed	Rarity	★	20	156.0	16.0	10.3
Breed	Rarity	★	20	156.0	16.0	10.3
Breed	Rarity	★	20	156.0	16.0	10.3
Breed	Rarity	★	20	156.0	16.0	10.3
Breed	Rarity	★	20	156.0	16.0	10.3
Breed	Rarity	★	20	156.0	16.0	10.3
Breed	Title	配合	40	800.0	80.0	10.0
