# ホーム ── ⭐ 上半分が放置、下半分が孵化器
#
# ⚠️ 孵化は独立した画面をやめてここへ移した。空いている枠を押すと、
#    そのとき初めて卵の在庫が開く（棚を常に出しておかない）。
#
# ⭐ **放置の帯は `host`。**⚠️ 歩く3体と敵の位置は時間から逆算していて、
#    座標を書き出せない ── 「まだ移していない」のではなく「骨組みが持たない」と宣言する。
#
# ⚠️ 数は `Resources/Prefabs/HomeScreen.prefab` の実測（枠は 3列×2段・倍率1）。
#
# ⭐ 2026-08-25 ドット絵化 段取り4: `mats`/`slot`/`trial`/`party`/`keep` は絵（`paint`）を敷いた。
#    ⚠️ いまは仮置き（`sim paint-placeholder`）── 枠線＋薄い塗り＋隅の印で、本物と見間違えない。
#
#  名前   種類    左   上    幅    高    付け足し
mats     paint   0    0     1080  80    pic=home-mats
  icon   round   48   20    40    40    bind=icon
  # ⭐ **EXP と書く。**⚠️ 数だけ出していた頃は、丸い印の隣の数が
  #    何の数なのか画面のどこにも書いていなかった。
  count  label   104  0     400   80    size=40 anchor=left bind=count
  # ⭐ **この世界の番号。**⚠️ 端末ごとに違う世界を引くので、
  #    「この盤面で起きた」と伝える手立てがこれしか無い。
  # ⚠️ 説明の字は付けない ── 要る人だけが読む。⭐ 16進なら8桁で口に出せる。
  world  label   540  0     492   80    size=40 ink=faint anchor=right bind=world

idle     host    0    88    1080  472

slot     paint   72   616   300   380   repeat=slots cols=3 gap=20 rows=400 max=6 tap=slot use=slot pic=slot-frame

# ⚠️ **置ける行は 1420 の1行しか無い。**⭐ 実測: 素材 0〜80 / 放置 88〜560 /
#    孵化枠 616〜1396 / **1420〜1532** / 帯 1556〜1788。
#    ⚠️ 数字は2026-08-25の升目直し（4の倍数化）後の値（素材・放置の端が動いた）。
#    ⚠️ 上へ重ねたら孵化枠と、下へ置いたら帯と重なる。
# ⚠️ **下の帯より上位に見せない。**全幅の札にすると、ナビより大きくて階層が逆転する
#    （レビュー指摘 2026-08-19）。⭐ 3つに割って横に並べる。
# ⭐ **輪の外にあるもの**を、ここ1行にまとめてある（試練・編成・控え）。
#    ⚠️ 遊びの輪（探索→潜入→戦闘→帰還）は下の帯が持つ。混ぜない。
# ⚠️ **釦の地は `ink=clear` で透明にし、下に敷いた paint を見せる**
#    （button 自体は `.n.button` の地色 #dfe3ee を持つので、透明にしないと絵が隠れる）。
trialbg  paint   48   1420  316   112   pic=home-trial
trial    button  48   1420  316   112   size=40 tap=trials bind=trials ink=clear
partybg  paint   384  1420  316   112   pic=home-party
party    button  384  1420  316   112   size=40 tap=party ink=clear text=パーティ編成
keepbg   paint   716  1420  316   112   pic=home-keep
keep     button  716  1420  316   112   size=40 tap=keep ink=clear text=保存の控え
